month	day	iso	date_label	count_total	count_full_month_day	count_full_month_ordinal	count_abbr_month_day	count_abbr_month_ordinal
1	1	01-01	January 1	9554859	6606566	945212	1891306	111775
1	2	01-02	January 2	3757363	2702771	236345	783359	34888
1	3	01-03	January 3	4061179	2955548	240439	826675	38517
1	4	01-04	January 4	3986086	2909557	218349	820712	37468
1	5	01-05	January 5	4017407	2934222	225220	820371	37594
1	6	01-06	January 6	4661457	3329967	342627	944477	44386
1	7	01-07	January 7	4231134	3097132	221959	873500	38543
1	8	01-08	January 8	4177469	3056041	210485	872438	38505
1	9	01-09	January 9	4148694	3038351	199337	875874	35132
1	10	01-10	January 10	4147217	3052485	209325	848847	36560
1	11	01-11	January 11	4156188	3061361	190385	872016	32426
1	12	01-12	January 12	4223231	3133686	185644	866442	37459
1	13	01-13	January 13	4040815	3017242	184586	803999	34988
1	14	01-14	January 14	4212463	3135544	201597	839080	36242
1	15	01-15	January 15	4502736	3324444	251073	887344	39875
1	16	01-16	January 16	4058422	3048152	186548	787115	36607
1	17	01-17	January 17	4197978	3113025	204980	839835	40138
1	18	01-18	January 18	4128500	3072262	194428	820069	41741
1	19	01-19	January 19	4195531	3129918	209779	815427	40407
1	20	01-20	January 20	5154923	3728460	378380	994346	53737
1	21	01-21	January 21	4266354	3169996	212169	844936	39253
1	22	01-22	January 22	4305893	3241773	176745	849048	38327
1	23	01-23	January 23	4248941	3181692	184443	844803	38003
1	24	01-24	January 24	4198523	3125749	201741	832866	38167
1	25	01-25	January 25	4432488	3314330	229153	847951	41054
1	26	01-26	January 26	4252426	3205951	200579	807204	38692
1	27	01-27	January 27	4310032	3258958	209198	803767	38109
1	28	01-28	January 28	4281448	3195563	207637	842009	36239
1	29	01-29	January 29	4130271	3095747	192551	808722	33251
1	30	01-30	January 30	4332617	3247522	223392	820095	41608
1	31	01-31	January 31	4694462	3488989	258123	902046	45304
2	1	02-01	February 1	4807283	3408909	295327	1039004	64043
2	2	02-02	February 2	4125296	2935784	217968	927529	44015
2	3	02-03	February 3	3869218	2783872	186125	860812	38409
2	4	02-04	February 4	4012226	2872780	191122	905160	43164
2	5	02-05	February 5	4110908	2943297	203042	916988	47581
2	6	02-06	February 6	3952306	2862850	174855	873626	40975
2	7	02-07	February 7	4087062	2907690	187148	953108	39116
2	8	02-08	February 8	3936659	2839193	175859	876026	45581
2	9	02-09	February 9	3918513	2810661	176072	889235	42545
2	10	02-10	February 10	3909357	2820188	173921	875667	39581
2	11	02-11	February 11	4116278	2999485	170477	905296	41020
2	12	02-12	February 12	4172165	3022742	187169	922619	39635
2	13	02-13	February 13	3883655	2802398	170978	868915	41364
2	14	02-14	February 14	4205582	2991256	273751	893530	47045
2	15	02-15	February 15	4254774	3061812	212370	934868	45724
2	16	02-16	February 16	3763967	2711112	163109	851411	38335
2	17	02-17	February 17	3946321	2841036	169929	896013	39343
2	18	02-18	February 18	3957875	2878170	184077	853136	42492
2	19	02-19	February 19	3878630	2794952	169715	869578	44385
2	20	02-20	February 20	4041829	2887833	185302	918893	49801
2	21	02-21	February 21	3893182	2881884	159688	809570	42040
2	22	02-22	February 22	4103008	3041223	169370	846192	46223
2	23	02-23	February 23	3894666	2887604	160602	805019	41441
