month	day	iso	date_label	count_total	count_full_month_day	count_full_month_ordinal	count_abbr_month_day	count_abbr_month_ordinal
1	1	01-01	January 1	15333618	9707113	1815530	3542481	268494
1	2	01-02	January 2	6232804	3730066	434825	1977707	90206
1	3	01-03	January 3	6873284	4140023	434398	2206547	92316
1	4	01-04	January 4	6779335	4048710	409043	2230994	90588
1	5	01-05	January 5	6783237	4106928	426472	2158161	91676
1	6	01-06	January 6	8366844	4953086	727308	2567162	119288
1	7	01-07	January 7	7096115	4323402	429650	2255562	87501
1	8	01-08	January 8	7046320	4299489	396370	2264001	86460
1	9	01-09	January 9	6976400	4223159	384488	2285479	83274
1	10	01-10	January 10	7169235	4273432	405251	2402245	88307
1	11	01-11	January 11	6997954	4241682	362827	2314950	78495
1	12	01-12	January 12	7030538	4342402	364960	2237687	85489
1	13	01-13	January 13	6820418	4192260	364173	2181127	82858
1	14	01-14	January 14	7065851	4344649	392066	2240282	88854
1	15	01-15	January 15	7545952	4662513	485045	2301092	97302
1	16	01-16	January 16	6870094	4225978	362347	2194446	87323
1	17	01-17	January 17	7113437	4347860	386919	2284919	93739
1	18	01-18	January 18	7060423	4298599	376382	2291838	93604
1	19	01-19	January 19	7259240	4360979	405835	2392946	99480
1	20	01-20	January 20	8520880	5220990	688716	2494590	116584
1	21	01-21	January 21	7219663	4445346	412583	2276432	85302
1	22	01-22	January 22	7183960	4516976	351238	2233734	82012
1	23	01-23	January 23	7172460	4442127	365807	2279313	85213
1	24	01-24	January 24	7147499	4348597	382818	2328271	87813
1	25	01-25	January 25	7657552	4724692	467659	2366011	99190
1	26	01-26	January 26	7206538	4483394	417917	2207935	97292
1	27	01-27	January 27	7190290	4517757	396723	2188909	86901
1	28	01-28	January 28	7202704	4450158	397571	2271020	83955
1	29	01-29	January 29	6935859	4303858	369146	2182669	80186
1	30	01-30	January 30	7435454	4607112	440088	2294739	93515
1	31	01-31	January 31	7977343	4910879	516208	2446178	104078
2	1	02-01	February 1	8312992	4883877	561559	2720156	147400
2	2	02-02	February 2	7036841	4136273	417430	2379141	103997
2	3	02-03	February 3	6648155	3906005	343603	2301636	96911
2	4	02-04	February 4	6807288	3992491	370981	2339520	104296
2	5	02-05	February 5	6985336	4086530	388158	2398620	112028
2	6	02-06	February 6	6827450	4022585	338032	2368961	97872
2	7	02-07	February 7	6988011	4068696	352713	2472460	94142
2	8	02-08	February 8	6860415	3996746	332136	2429291	102242
2	9	02-09	February 9	6603059	3893761	328240	2282219	98839
2	10	02-10	February 10	6681270	3945036	334297	2304881	97056
2	11	02-11	February 11	6915068	4186769	329146	2299786	99367
2	12	02-12	February 12	7043911	4225430	355401	2365411	97669
2	13	02-13	February 13	6688579	3913944	339724	2340183	94728
2	14	02-14	February 14	7342833	4274342	568548	2372091	127852
2	15	02-15	February 15	7210685	4313945	414882	2371806	110052
2	16	02-16	February 16	6359596	3791382	308941	2161617	97656
2	17	02-17	February 17	6673234	3964198	333607	2277496	97933
2	18	02-18	February 18	6860043	4024433	344279	2391296	100035
2	19	02-19	February 19	6705897	3967164	342806	2294258	101669
2	20	02-20	February 20	6958467	4077662	370961	2394304	115540
2	21	02-21	February 21	6698448	4028356	313779	2260157	96156
2	22	02-22	February 22	7011143	4235156	331489	2344856	99642
2	23	02-23	February 23	6674417	4037096	310037	2236717	90567
2	24	02-24	February 24	6945655	4175331	344696	2328663	96965
2	25	02-25	February 25	6805982	4084214	341175	2275061	105532
2	26	02-26	February 26	6770852	4029983	325031	2318101	97737
2	27	02-27	February 27	6907215	4126409	343358	2342419	95029
2	28	02-28	February 28	7318960	4373961	422317	2410391	112291
2	29	02-29	February 29	2220002	1302064	202741	672396	42801
3	1	03-01	March 1	9042253	5952122	864490	2159708	65933
3	2	03-02	March 2	6695123	4420210	401406	1817697	55810
3	3	03-03	March 3	6959961	4659424	444670	1798069	57798
3	4	03-04	March 4	7285174	4900289	479337	1845817	59731
3	5	03-05	March 5	6903131	4518775	429980	1896775	57601
3	6	03-06	March 6	6723788	4367107	401648	1898649	56384
3	7	03-07	March 7	6886660	4422804	409337	1996284	58235
3	8	03-08	March 8	7146559	4639750	490060	1960989	55760
3	9	03-09	March 9	6621238	4342670	410741	1813298	54529
3	10	03-10	March 10	6626194	4338657	405186	1827005	55346
3	11	03-11	March 11	7123391	4839337	452412	1779606	52036
3	12	03-12	March 12	6772210	4456683	378924	1878288	58315
3	13	03-13	March 13	6599103	4294988	393618	1848113	62384
3	14	03-14	March 14	6952580	4536334	489433	1860724	66089
3	15	03-15	March 15	7316859	4826638	528469	1893705	68047
3	16	03-16	March 16	6579599	4407475	389803	1720657	61664
3	17	03-17	March 17	6556747	4372281	467033	1656746	60687
3	18	03-18	March 18	6751857	4452499	409567	1831068	58723
3	19	03-19	March 19	6718405	4441671	414434	1795340	66960
3	20	03-20	March 20	7372034	4884752	515399	1907997	63886
3	21	03-21	March 21	6990398	4633098	458552	1833220	65528
3	22	03-22	March 22	6650606	4410797	366482	1809541	63786
3	23	03-23	March 23	6812801	4570565	412739	1765648	63849
3	24	03-24	March 24	6616945	4441809	393800	1715413	65923
3	25	03-25	March 25	6912682	4590521	465914	1792971	63276
3	26	03-26	March 26	6681548	4425069	383736	1807216	65527
3	27	03-27	March 27	6655982	4418692	377836	1793526	65928
3	28	03-28	March 28	6548786	4300130	363326	1823038	62292
3	29	03-29	March 29	6708381	4453733	403628	1784386	66634
3	30	03-30	March 30	6627910	4426180	401550	1741455	58725
3	31	03-31	March 31	7838191	5438510	629647	1709461	60573
4	1	04-01	April 1	9831697	6726070	1187939	1854788	62900
4	2	04-02	April 2	6849949	4609022	443987	1737830	59110
4	3	04-03	April 3	6717854	4410730	428549	1810453	68122
4	4	04-04	April 4	7214073	4826577	493141	1829259	65096
4	5	04-05	April 5	6882130	4535837	474839	1807104	64350
4	6	04-06	April 6	7261774	4950772	512869	1741583	56550
4	7	04-07	April 7	6880647	4658400	436063	1729239	56945
4	8	04-08	April 8	6830739	4541072	438853	1789852	60962
4	9	04-09	April 9	6901769	4644764	437514	1766124	53367
4	10	04-10	April 10	6842846	4539744	452412	1791288	59402
4	11	04-11	April 11	6792689	4498073	388398	1849350	56868
4	12	04-12	April 12	7189465	4824523	427078	1877590	60274
4	13	04-13	April 13	6553798	4403576	403889	1688539	57794
4	14	04-14	April 14	6800194	4641943	469959	1625792	62500
4	15	04-15	April 15	8383336	5717283	850600	1752446	63007
4	16	04-16	April 16	6779109	4540845	442570	1730905	64789
4	17	04-17	April 17	6803000	4510794	457480	1775713	59013
4	18	04-18	April 18	7019601	4688352	465168	1799967	66114
4	19	04-19	April 19	7487518	5094793	504818	1823134	64773
4	20	04-20	April 20	7472859	5007703	579838	1816100	69218
4	21	04-21	April 21	6758183	4600449	409138	1685319	63277
4	22	04-22	April 22	6998650	4799221	430088	1704570	64771
4	23	04-23	April 23	6882474	4631721	436188	1750729	63836
4	24	04-24	April 24	6879072	4587477	434036	1791502	66057
4	25	04-25	April 25	7164820	4798718	479637	1818714	67751
4	26	04-26	April 26	6981218	4630530	425175	1861505	64008
4	27	04-27	April 27	6887534	4625883	422601	1776691	62359
4	28	04-28	April 28	6751150	4521428	413951	1751813	63958
4	29	04-29	April 29	6873052	4576607	444792	1789053	62600
4	30	04-30	April 30	7856376	5291070	607066	1892091	66149
5	1	05-01	May 1	9357306	8231874	1125432	0	0
5	2	05-02	May 2	6954397	6434453	519944	0	0
5	3	05-03	May 3	6858560	6307330	551230	0	0
5	4	05-04	May 4	6904413	6281568	622845	0	0
5	5	05-05	May 5	7070887	6439750	631137	0	0
5	6	05-06	May 6	6888720	6358244	530476	0	0
5	7	05-07	May 7	6934167	6405900	528267	0	0
5	8	05-08	May 8	6797288	6281985	515303	0	0
5	9	05-09	May 9	6652572	6163987	488585	0	0
5	10	05-10	May 10	6816424	6297368	519056	0	0
5	11	05-11	May 11	6405766	5980587	425179	0	0
5	12	05-12	May 12	6515383	6054420	460963	0	0
5	13	05-13	May 13	6422067	5961262	460805	0	0
5	14	05-14	May 14	6622666	6144309	478357	0	0
5	15	05-15	May 15	7250820	6667881	582939	0	0
5	16	05-16	May 16	6516942	6057730	459212	0	0
5	17	05-17	May 17	6522898	6050776	472122	0	0
5	18	05-18	May 18	6584529	6094004	490525	0	0
5	19	05-19	May 19	6451788	5957605	494183	0	0
5	20	05-20	May 20	7061732	6515321	546411	0	0
5	21	05-21	May 21	6637955	6132699	505256	0	0
5	22	05-22	May 22	6745407	6287209	458198	0	0
5	23	05-23	May 23	6512043	6070325	441718	0	0
5	24	05-24	May 24	6594238	6143927	450311	0	0
5	25	05-25	May 25	7058617	6486203	572414	0	0
5	26	05-26	May 26	6096590	5687918	408672	0	0
5	27	05-27	May 27	6188868	5767374	421494	0	0
5	28	05-28	May 28	6158307	5729238	429069	0	0
5	29	05-29	May 29	6217906	5781820	436086	0	0
5	30	05-30	May 30	6293851	5825717	468134	0	0
5	31	05-31	May 31	6717267	6204490	512777	0	0
6	1	06-01	June 1	8871965	6172304	856808	1789012	53841
6	2	06-02	June 2	6551749	4499313	433660	1569346	49430
6	3	06-03	June 3	6873887	4682843	489062	1654773	47209
6	4	06-04	June 4	7009384	4743598	553609	1654685	57492
6	5	06-05	June 5	6970577	4767022	521518	1631192	50845
6	6	06-06	June 6	7484195	5106607	568969	1757109	51510
6	7	06-07	June 7	6801771	4561776	503932	1684330	51733
6	8	06-08	June 8	6893903	4650148	486900	1706017	50838
