month	day	iso	date_label	count_total	count_full_month_day	count_full_month_ordinal	count_abbr_month_day	count_abbr_month_ordinal
1	1	01-01	January 1	1529633	1180723	91580	241732	15598
1	2	01-02	January 2	365072	264581	19773	77835	2883
1	3	01-03	January 3	418629	318611	18809	78618	2591
1	4	01-04	January 4	387041	285543	18473	75332	7693
1	5	01-05	January 5	386883	290195	18645	75169	2874
1	6	01-06	January 6	397290	296551	19143	78593	3003
1	7	01-07	January 7	399423	297407	19044	79476	3496
1	8	01-08	January 8	403030	300386	18930	81063	2651
1	9	01-09	January 9	403607	299879	17722	83687	2319
1	10	01-10	January 10	422514	312666	19197	87993	2658
1	11	01-11	January 11	395422	294278	16791	82104	2249
1	12	01-12	January 12	405284	296977	16919	88541	2847
1	13	01-13	January 13	385570	284258	16196	82693	2423
1	14	01-14	January 14	401174	297457	16776	84382	2559
1	15	01-15	January 15	458075	340619	23112	91206	3138
1	16	01-16	January 16	389914	290592	17477	79387	2458
1	17	01-17	January 17	396329	295280	17362	81055	2632
1	18	01-18	January 18	389048	288884	17435	79998	2731
1	19	01-19	January 19	387343	284451	18420	81775	2697
1	20	01-20	January 20	468889	343826	25865	95933	3265
1	21	01-21	January 21	401763	298009	17699	83837	2218
1	22	01-22	January 22	403216	303568	15376	82483	1789
1	23	01-23	January 23	405572	303553	16081	83629	2309
1	24	01-24	January 24	393647	292933	17705	80711	2298
1	25	01-25	January 25	416030	310240	20226	82829	2735
1	26	01-26	January 26	403126	301526	18586	80640	2374
1	27	01-27	January 27	400329	299259	17526	81141	2403
1	28	01-28	January 28	405852	304242	17585	81697	2328
1	29	01-29	January 29	406683	300767	17680	85799	2437
1	30	01-30	January 30	434878	325928	19906	86442	2602
1	31	01-31	January 31	541457	408611	27003	102242	3601
2	1	02-01	February 1	591145	442400	32735	110671	5339
2	2	02-02	February 2	443647	330653	19777	90027	3190
2	3	02-03	February 3	395895	290783	17011	85060	3041
2	4	02-04	February 4	399218	293755	18321	84012	3130
2	5	02-05	February 5	410083	301283	19217	86166	3417
2	6	02-06	February 6	411614	303051	17988	87518	3057
2	7	02-07	February 7	414112	303620	18612	88569	3311
2	8	02-08	February 8	406972	299978	18104	85789	3101
2	9	02-09	February 9	397394	289734	18628	85922	3110
2	10	02-10	February 10	415612	306674	18831	87379	2728
2	11	02-11	February 11	404086	297815	17353	86383	2535
2	12	02-12	February 12	413810	300109	18670	92200	2831
2	13	02-13	February 13	409179	295756	17820	92387	3216
2	14	02-14	February 14	466796	335312	26729	100899	3856
2	15	02-15	February 15	448774	329468	21847	93057	4402
2	16	02-16	February 16	385754	283652	16601	82711	2790
2	17	02-17	February 17	383399	282395	17002	81152	2850
2	18	02-18	February 18	383315	280145	16683	83527	2960
2	19	02-19	February 19	389671	285421	17414	83897	2939
2	20	02-20	February 20	415117	303035	20610	88319	3153
2	21	02-21	February 21	401843	292774	17466	89019	2584
2	22	02-22	February 22	421508	309758	17760	91472	2518
2	23	02-23	February 23	400365	297477	16662	83815	2411
2	24	02-24	February 24	405607	300244	18057	84457	2849
2	25	02-25	February 25	406637	299812	18029	85738	3058
2	26	02-26	February 26	422570	307306	18109	94291	2864
2	27	02-27	February 27	429556	314908	18740	92953	2955
2	28	02-28	February 28	504044	373376	25620	100956	4092
2	29	02-29	February 29	139499	101937	8310	27690	1562
3	1	03-01	March 1	706636	597755	48326	58676	1879
3	2	03-02	March 2	457284	376580	23266	56338	1100
3	3	03-03	March 3	549234	438020	25361	84752	1101
3	4	03-04	March 4	518698	445873	25742	45696	1387
3	5	03-05	March 5	436265	364820	24534	46117	794
3	6	03-06	March 6	431998	364635	22386	43900	1077
3	7	03-07	March 7	426156	356092	22561	46348	1155
3	8	03-08	March 8	454547	381058	28054	44534	901
3	9	03-09	March 9	428339	360742	22922	43866	809
3	10	03-10	March 10	443714	373266	23108	46338	1002
3	11	03-11	March 11	455731	383941	22709	47952	1129
3	12	03-12	March 12	439462	368168	21432	48800	1062
3	13	03-13	March 13	439907	369247	21317	48305	1038
3	14	03-14	March 14	444910	368077	23451	52378	1004
3	15	03-15	March 15	520901	436420	29299	54203	979
3	16	03-16	March 16	439366	368858	21980	47573	955
3	17	03-17	March 17	436012	365167	23598	46050	1197
3	18	03-18	March 18	432300	358968	22224	49608	1500
3	19	03-19	March 19	433378	360159	21751	50334	1134
3	20	03-20	March 20	467993	388475	26741	51733	1044
3	21	03-21	March 21	440849	367922	22719	48991	1217
3	22	03-22	March 22	415571	351019	20145	43477	930
3	23	03-23	March 23	443280	375053	21288	46153	786
3	24	03-24	March 24	422601	355693	22171	43742	995
3	25	03-25	March 25	432914	362491	23935	45490	998
3	26	03-26	March 26	420069	351917	20144	46965	1043
3	27	03-27	March 27	427217	357563	20179	48675	800
3	28	03-28	March 28	427721	356350	20574	49547	1250
3	29	03-29	March 29	445619	375937	23341	45392	949
3	30	03-30	March 30	455586	377252	24154	53287	893
3	31	03-31	March 31	773273	648078	43357	80659	1179
4	1	04-01	April 1	821088	709556	60576	49544	1412
4	2	04-02	April 2	433986	367717	22984	42404	881
4	3	04-03	April 3	418212	351909	22089	43060	1154
4	4	04-04	April 4	452179	382952	24973	43404	850
4	5	04-05	April 5	424582	358359	25426	39992	805
4	6	04-06	April 6	440587	374557	24799	40316	915
4	7	04-07	April 7	419645	355427	22837	40191	1190
4	8	04-08	April 8	402303	338027	21624	41933	719
4	9	04-09	April 9	419685	356146	22373	40453	713
4	10	04-10	April 10	439343	367918	23801	46456	1168
4	11	04-11	April 11	418426	353003	20812	43848	763
4	12	04-12	April 12	431026	365402	21606	43051	967
4	13	04-13	April 13	399016	335896	20337	41903	880
4	14	04-14	April 14	419306	352189	22229	44136	752
4	15	04-15	April 15	532809	449738	34025	48090	956
4	16	04-16	April 16	413166	348078	21083	43246	759
4	17	04-17	April 17	415222	350760	20751	42769	942
4	18	04-18	April 18	422881	354859	22325	44731	966
4	19	04-19	April 19	425705	358590	24232	42065	818
4	20	04-20	April 20	455402	380967	27382	46145	908
4	21	04-21	April 21	403121	338664	20934	42713	810
4	22	04-22	April 22	407749	344368	19587	42698	1096
4	23	04-23	April 23	419474	351831	21697	44888	1058
4	24	04-24	April 24	438623	367414	22279	47922	1008
4	25	04-25	April 25	438928	367951	24003	45984	990
4	26	04-26	April 26	422272	354911	22686	43835	840
4	27	04-27	April 27	424736	355065	24758	44084	829
4	28	04-28	April 28	422936	354035	22351	45452	1098
4	29	04-29	April 29	422337	352053	24237	45217	830
4	30	04-30	April 30	558030	471038	34474	51519	999
5	1	05-01	May 1	715337	659801	55536	0	0
5	2	05-02	May 2	440559	416212	24347	0	0
5	3	05-03	May 3	437095	409908	27187	0	0
5	4	05-04	May 4	431865	401822	30043	0	0
5	5	05-05	May 5	456661	426410	30251	0	0
5	6	05-06	May 6	422884	397720	25164	0	0
5	7	05-07	May 7	430732	405591	25141	0	0
5	8	05-08	May 8	438624	413019	25605	0	0
5	9	05-09	May 9	430063	405939	24124	0	0
5	10	05-10	May 10	451767	425936	25831	0	0
5	11	05-11	May 11	415770	394297	21473	0	0
5	12	05-12	May 12	426081	402846	23235	0	0
5	13	05-13	May 13	404840	382718	22122	0	0
5	14	05-14	May 14	425953	403349	22604	0	0
5	15	05-15	May 15	510362	480363	29999	0	0
5	16	05-16	May 16	422328	399716	22612	0	0
5	17	05-17	May 17	420492	397214	23278	0	0
5	18	05-18	May 18	422326	397555	24771	0	0
5	19	05-19	May 19	411477	386976	24501	0	0
5	20	05-20	May 20	444500	418897	25603	0	0
5	21	05-21	May 21	417080	394833	22247	0	0
5	22	05-22	May 22	427539	407282	20257	0	0
5	23	05-23	May 23	427063	406297	20766	0	0
5	24	05-24	May 24	421479	398544	22935	0	0
5	25	05-25	May 25	437705	407679	30026	0	0
5	26	05-26	May 26	373785	353381	20404	0	0
5	27	05-27	May 27	380417	359304	21113	0	0
5	28	05-28	May 28	378523	357869	20654	0	0
5	29	05-29	May 29	398418	376906	21512	0	0
5	30	05-30	May 30	399908	376682	23226	0	0
5	31	05-31	May 31	504618	473714	30904	0	0
6	1	06-01	June 1	694688	603704	50615	39529	840
6	2	06-02	June 2	416932	363370	23102	29791	669
6	3	06-03	June 3	420022	366274	23579	29520	649
6	4	06-04	June 4	430925	374177	26724	29151	873
6	5	06-05	June 5	440880	383898	26155	30061	766
6	6	06-06	June 6	477309	415055	26375	35161	718
6	7	06-07	June 7	438929	380785	24820	32644	680
6	8	06-08	June 8	426109	371870	25218	28340	681
6	9	06-09	June 9	405614	352071	24269	28664	610
6	10	06-10	June 10	428849	372528	24398	31081	842
6	11	06-11	June 11	406934	351079	20422	34756	677
6	12	06-12	June 12	454696	399526	22572	31952	646
6	13	06-13	June 13	405796	352845	20796	31439	716
6	14	06-14	June 14	421497	365325	22612	32924	636
6	15	06-15	June 15	473585	413673	27140	31895	877
6	16	06-16	June 16	411875	357095	22546	31418	816
6	17	06-17	June 17	404057	350761	21640	30958	698
6	18	06-18	June 18	410011	355888	23106	30287	730
6	19	06-19	June 19	405632	352969	20620	31122	921
6	20	06-20	June 20	432296	375675	23921	32000	700
6	21	06-21	June 21	420514	365114	22861	31847	692
6	22	06-22	June 22	420826	371576	18792	29883	575
6	23	06-23	June 23	424306	370626	22290	30748	642
6	24	06-24	June 24	415419	361965	22974	29777	703
6	25	06-25	June 25	433135	380491	22485	29558	601
6	26	06-26	June 26	431243	377695	21960	30929	659
6	27	06-27	June 27	423477	369619	20754	32469	635
6	28	06-28	June 28	444511	389172	22681	31909	749
6	29	06-29	June 29	425879	370854	21380	32866	779
6	30	06-30	June 30	897536	815286	44777	36444	1029
7	1	07-01	July 1	1120768	1014741	67371	37722	934
7	2	07-02	July 2	424018	370962	23548	28826	682
7	3	07-03	July 3	376923	325558	21506	29197	662
7	4	07-04	July 4	415653	327341	63207	24424	681
7	5	07-05	July 5	368732	319867	23192	25108	565
7	6	07-06	July 6	383123	334413	20605	27314	791
7	7	07-07	July 7	424980	370725	24442	29126	687
7	8	07-08	July 8	388423	340040	20217	27386	780
7	9	07-09	July 9	395156	343749	20952	29869	586
7	10	07-10	July 10	423602	368832	22014	32029	727
7	11	07-11	July 11	401577	349481	19876	31579	641
7	12	07-12	July 12	409180	356467	20766	31270	677
7	13	07-13	July 13	389004	336672	20370	31366	596
7	14	07-14	July 14	420678	361511	23030	35452	685
7	15	07-15	July 15	461999	402074	25396	33934	595
7	16	07-16	July 16	402930	352442	19487	30377	624
7	17	07-17	July 17	418094	364512	20744	32235	603
7	18	07-18	July 18	401155	347795	20366	32299	695
7	19	07-19	July 19	390308	338335	20079	31226	668
7	20	07-20	July 20	434408	375031	24028	34679	670
7	21	07-21	July 21	384247	335031	19169	29423	624
7	22	07-22	July 22	394995	346626	17316	30423	630
7	23	07-23	July 23	387351	337225	17535	31934	657
7	24	07-24	July 24	393877	340099	19122	33973	683
7	25	07-25	July 25	430552	376634	21840	30958	1120
7	26	07-26	July 26	401069	348221	20083	32029	736
7	27	07-27	July 27	399825	348436	19562	31071	756
7	28	07-28	July 28	392923	341028	20016	31167	712
7	29	07-29	July 29	397066	343119	20022	33259	666
7	30	07-30	July 30	417256	361879	21958	32714	705
7	31	07-31	July 31	538206	471073	29323	37066	744
8	1	08-01	August 1	640045	490668	42353	103999	3025
8	2	08-02	August 2	429949	318764	22364	87079	1742
8	3	08-03	August 3	394923	300570	20197	72462	1694
8	4	08-04	August 4	391922	297061	22029	71231	1601
8	5	08-05	August 5	395679	300069	21355	72757	1498
8	6	08-06	August 6	396993	302739	21384	71076	1794
8	7	08-07	August 7	391689	294463	20030	75243	1953
8	8	08-08	August 8	420293	318759	21887	77994	1653
8	9	08-09	August 9	397917	298970	20818	76616	1513
8	10	08-10	August 10	408887	308770	21202	77305	1610
8	11	08-11	August 11	367740	279435	16804	70034	1467
8	12	08-12	August 12	396224	298152	18997	77744	1331
8	13	08-13	August 13	365345	276462	17148	70410	1325
8	14	08-14	August 14	406263	301781	19688	83237	1557
8	15	08-15	August 15	477401	364929	26731	83824	1917
8	16	08-16	August 16	383557	289892	18800	73216	1649
8	17	08-17	August 17	381715	287139	19023	74072	1481
8	18	08-18	August 18	374975	282345	18503	72621	1506
8	19	08-19	August 19	367133	278330	18614	68668	1521
8	20	08-20	August 20	391124	295732	20223	73394	1775
8	21	08-21	August 21	398672	298480	19513	79089	1590
8	22	08-22	August 22	383214	290279	16292	75318	1325
8	23	08-23	August 23	386525	293274	17273	74629	1349
8	24	08-24	August 24	388895	298488	19243	68945	2219
8	25	08-25	August 25	397617	303218	20468	72435	1496
8	26	08-26	August 26	374183	285295	17325	70124	1439
8	27	08-27	August 27	378321	288969	17439	70381	1532
8	28	08-28	August 28	415581	314118	19620	80164	1679
8	29	08-29	August 29	394235	298298	18522	75808	1607
8	30	08-30	August 30	408733	308526	20644	77984	1579
8	31	08-31	August 31	526453	405803	27327	91128	2195
9	1	09-01	September 1	681437	515285	41311	120269	4572
9	2	09-02	September 2	378731	285704	17823	72989	2215
9	3	09-03	September 3	391821	291821	18810	78739	2451
9	4	09-04	September 4	390592	291765	20118	76071	2638
9	5	09-05	September 5	398050	296004	20865	78425	2756
9	6	09-06	September 6	394435	292566	19347	80095	2427
9	7	09-07	September 7	396241	295517	20834	77205	2685
9	8	09-08	September 8	422279	315667	21489	82510	2613
9	9	09-09	September 9	446833	329987	23448	90735	2663
9	10	09-10	September 10	480980	333294	23098	121857	2731
9	11	09-11	September 11	947132	644467	74785	223113	4767
9	12	09-12	September 12	455875	336751	22050	94443	2631
9	13	09-13	September 13	419785	310976	20005	86121	2683
9	14	09-14	September 14	435845	325369	21188	86383	2905
9	15	09-15	September 15	494413	367312	26708	97294	3099
9	16	09-16	September 16	422794	314946	19593	85649	2606
9	17	09-17	September 17	455702	319578	20418	112795	2911
9	18	09-18	September 18	421310	314762	21186	82923	2439
9	19	09-19	September 19	423728	314325	19705	87071	2627
9	20	09-20	September 20	444758	327991	22960	90114	3693
9	21	09-21	September 21	417657	309116	19463	85781	3297
9	22	09-22	September 22	411860	307399	17838	84316	2307
9	23	09-23	September 23	414172	310262	17894	83824	2192
9	24	09-24	September 24	427300	320822	19277	84584	2617
9	25	09-25	September 25	435476	321963	20754	90063	2696
9	26	09-26	September 26	435050	320848	18768	92630	2804
9	27	09-27	September 27	419172	312959	19336	84435	2442
9	28	09-28	September 28	430431	320612	19626	87448	2745
9	29	09-29	September 29	433845	323525	20792	86590	2938
9	30	09-30	September 30	735968	563212	36095	132530	4131
10	1	10-01	October 1	839287	642631	48994	142530	5132
10	2	10-02	October 2	433916	325619	21507	83975	2815
